PLAYER_NAME,PLAYER_ID,TEAM_NAME_x,LOCATION,MIN_x,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,PTS,PLUS_MINUS,Efficiency,Season Type,GP_x,W_x,L_x,Logo_URL,DISPLAY_FIRST_LAST_x,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL,DISPLAY_FIRST_LAST_y,POSITION,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT,MIN_y,DEF_RATING,DREB_y,DREB_PCT,STL_y,BLK_y,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Conference
AJ Green,1631260,Milwaukee Bucks,AWAY,9.7,1.41,3.11,0.36,1.19,2.78,0.31,0.11,0.11,0.11,0.11,1.04,1.15,0.44,0.19,0.07,0.07,0.07,0.74,0.3,4.11,0.22,3.96,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png,AJ Green,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png,AJ Green,Guard,Milwaukee Bucks,82,49,33,0.598,3961.0,115.0,2850,0.731,558,413,1227.0,1121.0,1118.0,4182.0,1,8,8,8,10,19,3,4,26,15,6,12,10,19,East
AJ Green,1631260,Milwaukee Bucks,HOME,12.15,1.55,3.86,0.36,1.28,3.24,0.32,0.48,0.55,0.23,0.21,0.93,1.14,0.62,0.24,0.24,0.07,0.03,1.0,0.41,4.86,1.52,4.31,Regular Season,82,49,33,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png,AJ Green,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png,AJ Green,Guard,Milwaukee Bucks,82,49,33,0.598,3961.0,115.0,2850,0.731,558,413,1227.0,1121.0,1118.0,4182.0,1,8,8,8,10,19,3,4,26,15,6,12,10,19,East
AJ Griffin,1631100,Atlanta Hawks,AWAY,9.13,1.12,3.62,0.26,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.75,0.75,0.12,0.5,0.0,0.12,0.12,0.0,0.0,2.75,-4.75,0.75,Regular Season,82,36,46,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png,AJ Griffin,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,AJ Griffin,Forward,Atlanta Hawks,82,36,46,0.439,3971.0,118.4,2639,0.717,615,369,1367.0,1121.0,1363.0,4402.0,1,21,21,21,3,27,22,16,16,26,18,12,28,25,East
AJ Griffin,1631100,Atlanta Hawks,HOME,8.14,0.75,2.75,0.33,0.5,1.92,0.24,0.17,0.17,0.08,0.17,0.83,1.0,0.33,0.33,0.08,0.08,0.17,0.5,0.08,2.17,-1.08,1.33,Regular Season,82,36,46,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png,AJ Griffin,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631100.png,AJ Griffin,Forward,Atlanta Hawks,82,36,46,0.439,3971.0,118.4,2639,0.717,615,369,1367.0,1121.0,1363.0,4402.0,1,21,21,21,3,27,22,16,16,26,18,12,28,25,East
AJ Lawson,1630639,Dallas Mavericks,AWAY,9.37,1.32,3.16,0.33,0.37,1.37,0.14,0.63,0.84,0.23,0.32,1.05,1.37,0.58,0.47,0.37,0.11,0.32,0.58,0.47,3.63,0.74,3.53,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,AJ Lawson,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png,AJ Lawson,Guard,Dallas Mavericks,82,50,32,0.61,3941.0,114.9,2724,0.711,563,406,1240.0,1170.0,1291.0,4186.0,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West
AJ Lawson,1630639,Dallas Mavericks,HOME,5.77,1.26,2.65,0.42,0.26,1.04,0.1,0.13,0.3,0.09,0.35,0.7,1.04,0.39,0.22,0.13,0.04,0.09,0.48,0.17,2.91,0.17,2.74,Regular Season,82,50,32,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png,AJ Lawson,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png,AJ Lawson,Guard,Dallas Mavericks,82,50,32,0.61,3941.0,114.9,2724,0.711,563,406,1240.0,1170.0,1291.0,4186.0,1,6,6,6,26,18,14,21,24,17,7,24,26,20,West
Aaron Gordon,203932,Denver Nuggets,AWAY,32.29,5.58,9.58,0.59,0.42,1.94,0.14,2.26,3.52,0.58,1.81,4.39,6.19,3.81,1.55,0.74,0.68,0.61,2.03,3.03,13.84,7.65,18.45,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018.png,Aaron Gordon,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png,Aaron Gordon,Forward,Denver Nuggets,82,57,25,0.695,3941.0,112.3,2762,0.718,585,456,1301.0,1086.0,1109.0,4128.0,1,2,2,2,26,8,9,15,21,10,14,8,8,18,West
Aaron Gordon,203932,Denver Nuggets,HOME,30.85,5.36,9.98,0.57,0.64,1.86,0.27,2.55,3.81,0.51,2.81,3.83,6.64,3.36,1.36,0.79,0.57,0.9,1.88,3.07,13.9,4.43,18.02,Regular Season,82,57,25,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018.png,Aaron Gordon,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png,Aaron Gordon,Forward,Denver Nuggets,82,57,25,0.695,3941.0,112.3,2762,0.718,585,456,1301.0,1086.0,1109.0,4128.0,1,2,2,2,26,8,9,15,21,10,14,8,8,18,West
Aaron Holiday,1628988,Houston Rockets,AWAY,14.13,2.17,4.75,0.36,0.78,2.19,0.26,0.28,0.39,0.11,0.28,1.08,1.36,1.89,0.61,0.36,0.08,0.19,1.67,0.75,5.39,-0.11,5.78,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Aaron Holiday,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png,Aaron Holiday,Guard,Houston Rockets,82,41,41,0.5,3971.0,112.8,2787,0.722,639,375,1221.0,1130.0,958.0,3992.0,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West
Aaron Holiday,1628988,Houston Rockets,HOME,18.11,2.57,5.86,0.4,1.33,3.29,0.36,1.14,1.17,0.44,0.31,1.45,1.76,1.71,0.74,0.69,0.07,0.31,1.55,0.9,7.62,2.12,7.81,Regular Season,82,41,41,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png,Aaron Holiday,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png,Aaron Holiday,Guard,Houston Rockets,82,41,41,0.5,3971.0,112.8,2787,0.722,639,375,1221.0,1130.0,958.0,3992.0,1,19,19,19,3,10,6,12,8,24,4,14,1,12,West
